"archInterp","funcInterp","count"
"primary interpretation is the best assessment of a very ambiguous situation","\""civic\"" structure, but not a temple",2
"primary interpretation is the best assessment of a very ambiguous situation","cemetery",3
"primary interpretation is the best assessment of a very ambiguous situation","cultivated field",13
"primary interpretation is the best assessment of a very ambiguous situation","high status residence",8
"primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence",10
"primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization",2
"primary interpretation is the best assessment of a very ambiguous situation","momoztli (platform in plaza)",3
"primary interpretation is the best assessment of a very ambiguous situation","no plausible alternative to the pirmary interpretation",309
"primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop",13
"primary interpretation is the best assessment of a very ambiguous situation","other",3
"primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance",1
"primary interpretation is the best assessment of a very ambiguous situation","plaza",6
"primary interpretation is the best assessment of a very ambiguous situation","possible ball court",4
"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",4256
"primary interpretation is the best assessment of a very ambiguous situation","puesto",2
"primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status",11
"primary interpretation is the best assessment of a very ambiguous situation","residential workshop",6
"primary interpretation is the best assessment of a very ambiguous situation","unoccupied, not clear if cultivated or not",3
"probably not occupied or utilized in this period","\""civic\"" structure, but not a temple",11
"probably not occupied or utilized in this period","altar",1
"probably not occupied or utilized in this period","avenue divider",1
"probably not occupied or utilized in this period","cultivated field",52
"probably not occupied or utilized in this period","high status residence",1
"probably not occupied or utilized in this period","intermediate status residence",3
"probably not occupied or utilized in this period","low status residential, no obvious occupational specialization",17
"probably not occupied or utilized in this period","no plausible alternative to the pirmary interpretation",4
"probably not occupied or utilized in this period","other",1
"probably not occupied or utilized in this period","plaza",5
"probably not occupied or utilized in this period","primary interpretation is the best assessment of a very ambiguous situation",14
"probably not occupied or utilized in this period","residence of uncertain status",14
"probably not occupied or utilized in this period","residential workshop",2
"probably not occupied or utilized in this period","uncultivated open area",3
"probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",4725
"probably not occupied or utilized in this period",NA,1875
"pyramid (more than ca. 10m high)","no plausible alternative to the pirmary interpretation",2
"pyramid (more than ca. 10m high)","pyramid temple (over 10 m high)",27
"room group","high status residence",70
"room group","intermediate status residence",123
"room group","low status residential, no obvious occupational specialization",7
"room group","no plausible alternative to the pirmary interpretation",10
"room group","obsidian workshop",27
"room group","other",2
"room group","platform of probable religious significance",3
"room group","pottery workshop",2
"room group","primary interpretation is the best assessment of a very ambiguous situation",15
"room group","residence of uncertain status",2086
"room group","residential workshop",60
"room group","temple platform",3
"room group","unoccupied, not clear if cultivated or not",1
"room group",NA,49
"simple platform","\""civic\"" structure, but not a temple",2
"simple platform","altar",2
"simple platform","intermediate status residence",1
"simple platform","momoztli (platform in plaza)",3
"simple platform","no plausible alternative to the pirmary interpretation",13
"simple platform","other",21
"simple platform","platform of probable religious significance",535
"simple platform","plaza",9
"simple platform","primary interpretation is the best assessment of a very ambiguous situation",7
"simple platform","probably temple, hard to fit into any of the above categories",1
"simple platform","residence of uncertain status",3
"simple platform","temple platform",19
"simple platform","unoccupied, not clear if cultivated or not",2
"simple platform",NA,5
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the pirmary interpretation",2
"temple base (incl. platforms & multi-tiered platforms)","other",6
"temple base (incl. platforms & multi-tiered platforms)","platform of probable religious significance",3
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation",6
"temple base (incl. platforms & multi-tiered platforms)","probably temple, hard to fit into any of the above categories",47
"temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status",1
"temple base (incl. platforms & multi-tiered platforms)","temple",18
"temple base (incl. platforms & multi-tiered platforms)","temple platform",530
"temple base (incl. platforms & multi-tiered platforms)","unoccupied, not clear if cultivated or not",1
NA,"cultivated field",1
NA,"platform of probable religious significance",1
NA,"residence of uncertain status",1
NA,"unoccupied, not clear if cultivated or not",2
NA,NA,209
